"","id","Data.source.citation","Species","Authority","Common.Name","Location.of.population","Country.list","Region","Are.coordinates.for.specific.location.","biome","realm","Units","Sampling.method","Data.transformed","year","pop","scalepop"
"1",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1994,0.12,-0.125
"2",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1995,0.16,0.375
"3",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1996,0.15,0.25
"4",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1997,0.13,2.22044604925031e-16
"5",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1998,0.09,-0.5
"6",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",1999,0.05,-1
"7",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2000,0.15,0.25
"8",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2001,0.1,-0.375
"9",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2002,0.14,0.125
"10",14838,"DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007.","Salmo salar","Linnaeus, 1758","Atlantic salmon","South Newfoundland Designatable Unit 4, Newfoundland and Labrador","Canada","North America",FALSE,"Temperate coastal rivers","Nearctic","CPUE (rod days)","Collating data from monitoring facilities and recreational fisheries.","No",2003,0.13,2.22044604925031e-16
