"","unique(atlsal$Data.source.citation)"
"1","DFO (2012). Recovery potential assessment for the south Newfoundland Atlantic salmon (Salmo salar) designatable unit. Can. Sci. Advis. Sec. Sci. Advis. Rep. 2012/007."
"2"," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC)."
"3"," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College."
"4"," Shelton, R. G. J. (1986). Aspects of open sea exploitation of Atlantic salmon and the problems of assessing effects on Scottish home water stocks. The status of the Atlantic salmon in Scotland, Report of meeting of the Working Group on North Atlantic Salmon, Aberdeen, 1984. N. E. R. C. Institute of Terrestrial Ecology.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,."
"5"," Myers, R. A., J. Bridson, et al. (1995). Summary of World-wide Spawner and Recruitment Data. Canadian Tech. Report of Fisheries & Aquatic Sciences 2024. Department of Fisheries and Oceans Canada.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,."
"6","Myers, R. A., J. Bridson, et al. (1995). Summary of World-wide Spawner and Recruitment Data. Canadian Tech. Report of Fisheries & Aquatic Sciences 2024. Department of Fisheries and Oceans Canada.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,."
"7"," Gibson, R. J. (2002). The effects of fluvial processes and habitat heterogeneity on distribution growth and densities of juvenile Atlantic salmon (Salmo salar L.) with consequences on abundance of the adult fish. Ecology of Freshwater Fish 11(4): 207-222."
"8"," DFO (2005). Assessment of Newfoundland and Labrador Atlantic Salmon. Sci. Advis. Rep. 2005/052. D. C. S. A. Sec: 1-18.| DFO (2010). STOCK ASSESSMENT OF NEWFOUNDLAND AND LABRADOR ATLANTIC SALMON - 2010. Canadian Science Advisory Secretariat Science Advisory Report, Fisheries and Oceans Canada. 2010/087: 20."
"9"," Direktoratet for naturforvaltning (2004). Kalking i vann og vassdrag. Effektkontroll av st<ed><9f>rre prosjekter 2003. Notat 2004-2."
"10"," Direktoratet for naturforvaltning (1995). Gytebestander av laks og sj<ed><9f>aure. En sammenstilling av registreringer fra til vassdrag i Sogn og Fjordane fra 1960-94. Utredning fra DN Nr. 1995 <e4><f3><f1> 7. ."
"11"," Garn<ed><ab>s, E. (2003). Fangst av anadrome laksefisk i Drammenselva, Lierelva, <ed><83>roselva og Drammensfjorden i 2003. Notat av 09.12.2003, Fylkesmannen i Buskerud. Milj<ed><9f>vernavdelingen. .| Garn<ed><ab>s, E. (2004). Ungetetthet av laks og sj<ed><9f><ed><9f>rret i Drammenselva, Lierelva/Glitra og <ed><83>roselva. Oversendte tall."
"12"," Arnekleiv, J. V., G. Kj<ed>_rstad, et al. (2000). Fiskebiologiske unders<ed><9f>kelser i Stj<ed><9f>rdalselva 1990-1999. Del 1. Vassdragsregulering, hydrografi, bunndyr, ungfisktettheter og smolt. Vitenskapsmuseet Rapport Zoologisk Serie: 2000-3, NTNU Vitenskapsmuseet.| Arnekleiv, J. V. (2005). Fiskeribiologiske unders<ed><9f>kelser av laks (Salmo salar) og <ed><9f>rret (Salmo trutta) i Stj<ed><9f>rdalselva, Nord Tr<ed><9f>ndelag. Data fra 1992 til 2004. W. Norway."
"13"," Saltveit, S. J. (2004). Bestandsforhold hos laks i Enningdalselva, <ed><d6>stfold. <ed><83>rsrapport for 2002 og 2003, Laboratorium for ferskvanns<ed><9f>kologi og innlandsfiske, Universitetets naturhistoriske museer og botanisk hage, Universitetet i Oslo,."
"14"," Jensen, A. J., B. O. Johnsen, et al. (2004). Fiskebiologiske unders<ed><9f>kelser i Eidfjordvassdraget, Hordaland fylke 2003. NINA Oppdragsmelding 810: 34pp."
"15"," Jensen, A. (2004). Unpublished data, Norwegian Institute for Nature Research (NINA)."
"16"," Direktoratet for naturforvaltning (2003). Bestandsstatus for laks i Norge 2002. Rapport fra arbeidsgruppe: Utredning 2003-2002."
"17"," Saltveit, S. J. and T. Bremnes (2004). Effekt p<ed><ab> bunndyr og fisk av ulike vannf<ed><9f>ringsregimer i Suldalsl<ed><ab>gen. Suldalsl<ed><ab>gen <e4><f3><f1> milj<ed><9f>rapport nr. 42, Statkraft."
"18"," Brabrand, <ed><83>. (1998). Virkning av flom p<ed><ab> vannlevende organismer. HYDRA-rapport nr. Mi02. M. a. f. o. f. tiltak. HYDRA."
"19"," Myers, R. Ransom Myers' Stock Recruitment Database."
"20"," US Fish and Wildlife Service (2006). Historic Data Anadromous Fish Returns Merrimack River. from http://www.fws.gov/r5cneafp/returns.htm."
