ID,Region,Industry Sector,Industry Category,Gas,Units,Magnitude,Amount
1,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,178.68
2,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,159.64
3,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,176.55
4,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,154.93
5,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,153.73
6,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,164.99
7,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,167.28
8,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,165.66
9,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,172.43
10,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,166.58
11,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,174.64
12,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,171.84
13,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,175.25
14,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,57.23
15,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,60.66
16,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,59.49
17,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,57.59
18,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,61.87
19,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,63.81
20,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,64.94
21,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,67.27
22,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,70.87
23,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,73.31
24,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,74.96
25,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,75.3
26,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,72.8
27,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,308.66
28,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,341.2
29,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,328.49
30,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,313.4
31,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,330.36
32,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,280.08
33,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,291.73
34,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,277.26
35,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,286.77
36,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,311.18
37,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,341.54
38,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,367.57
39,Auckland,"Transport, postal, and warehousing","Air, space, scenic, and other transport",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,351.11
40,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1875.61
41,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1575.22
42,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1064.9
43,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1247.23
44,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1085.48
45,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,949.48
46,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1141.46
47,Auckland,"Electricity, gas, water, and waste services",Electricity generation and gas supply,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,904.43
