ID,Region,Pollution Cause,Gas,Units,Magnitude,Year,Amount
1,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,178.68
2,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,159.64
3,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,176.55
4,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,154.93
5,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,153.73
6,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,164.99
7,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,167.28
8,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,165.66
9,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,172.43
10,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,166.58
11,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,174.64
12,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,171.84
13,Auckland,Heating/cooling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,175.25
14,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,57.23
15,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,60.66
16,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,59.49
17,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,57.59
18,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,61.87
19,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,63.81
20,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,64.94
21,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,67.27
22,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,70.87
23,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,73.31
24,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,74.96
25,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,75.3
26,Auckland,Other,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,72.8
27,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,308.66
28,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,341.2
29,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,328.49
30,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,313.4
31,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,330.36
32,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,280.08
33,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,291.73
34,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,277.26
35,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,286.77
36,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,311.18
37,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,341.54
38,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,367.57
39,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,351.11
40,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,1875.61
41,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1575.22
42,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1064.9
43,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1247.23
44,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1085.48
45,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,949.48
46,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,1141.46
47,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,904.43
48,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,901.49
49,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,260.84
50,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,256.17
51,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,244.61
52,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,278.04
53,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,416.28
54,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,420.69
55,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,382.82
56,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,380.94
57,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,397.64
58,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,389.02
59,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,402.96
60,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,401.07
61,Auckland,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,463.42
